DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos3.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 03/11/2021 12:08:37
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
12:08:46;000:01;001;0195,7;+20,2;0983;019,91;0000
12:08:46;000:01;002;0197,4;+20,7;0982;020,10;0000
12:08:46;000:01;003;0193,8;+18,8;0982;019,74;0000
12:08:46;000:01;004;0196,5;+21,9;0983;019,99;0000
12:08:47;000:01;005;0197,2;+20,3;0983;020,06;0000
12:08:48;000:03;001;0195,7;+20,3;0983;019,91;0000
12:08:48;000:03;002;0197,4;+20,8;0982;020,10;0000
12:08:48;000:03;003;0193,8;+18,9;0982;019,74;0000
12:08:49;000:03;004;0196,5;+21,9;0983;019,99;0000
12:08:49;000:03;005;0197,2;+20,3;0983;020,06;0000
12:08:50;000:05;001;0195,7;+20,3;0983;019,91;0000
12:08:50;000:05;002;0197,4;+20,8;0982;020,10;0000
12:08:50;000:05;003;0193,8;+18,8;0982;019,74;0000
12:08:51;000:05;004;0196,5;+21,9;0983;019,99;0000
12:08:51;000:05;005;0197,2;+20,3;0983;020,06;0000
12:08:53;000:07;001;0195,7;+20,3;0983;019,91;0000
12:08:53;000:07;002;0197,4;+20,8;0982;020,10;0000
12:08:53;000:07;003;0193,8;+18,9;0982;019,74;0000
12:08:53;000:07;004;0196,5;+21,9;0983;019,99;0000
12:08:53;000:07;005;0197,2;+20,3;0983;020,06;0000
