DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos1.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 03/11/2021 09:11:20
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
09:27:46;001:02;004;0198;+20,6;0983;020,17;0000
09:27:46;001:02;010;0196;+20,4;0983;019,99;0000
09:27:48;001:04;001;0194;+18,1;0982;019,80;0000
09:27:48;001:04;004;0198;+20,6;0983;020,16;0000
09:27:52;001:04;001;0194;+18,1;0982;019,80;0000
09:27:52;001:07;004;0198;+20,6;0983;020,16;0000
09:27:52;001:07;010;0196;+20,4;0983;019,98;0000
09:27:52;001:08;001;0194;+18,1;0982;019,80;0000
09:27:52;001:08;004;0198;+20,6;0983;020,16;0000
09:27:52;001:08;010;0196;+20,4;0983;019,98;0000
09:27:55;001:10;001;0194;+18,1;0981;019,81;0000
09:27:55;001:10;004;0198;+20,6;0983;020,16;0000
09:27:55;001:10;010;0196;+20,4;0983;019,98;0000
09:27:57;001:12;001;0194;+18,1;0982;019,79;0000
09:27:57;001:12;004;0198;+20,6;0983;020,16;0000
09:27:57;001:12;010;0196;+20,4;0983;019,98;0000
