DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos2.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 03/11/2021 10:21:39
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
10:22:08;000:01;002;0194;+18,1;0982;019,82;0000
10:22:08;000:01;005;0199;+19,7;0983;020,26;0000
10:22:08;000:01;011;0197;+19,7;0983;020,08;0000
10:22:12;000:06;002;0194;+18,2;0982;019,82;0000
10:22:12;000:06;005;0199;+19,7;0983;020,26;0000
10:22:12;000:06;011;0197;+19,7;0983;020,08;0000
10:22:16;000:10;002;0194;+18,2;0982;019,83;0000
10:22:16;000:10;005;0199;+19,7;0983;020,25;0000
10:22:16;000:10;011;0197;+19,8;0983;020,07;0000
10:22:20;000:14;002;0194;+18,2;0982;019,83;0000
10:22:20;000:14;005;0199;+19,8;0983;020,25;0000
10:22:20;000:14;011;0197;+19,8;0983;020,07;0000
10:22:24;000:18;002;0194;+18,3;0982;019,83;0000
10:22:25;000:18;005;0199;+19,8;0983;020,24;0000
10:22:25;000:18;011;0197;+19,8;0983;020,07;0000
10:22:29;000:22;002;0194;+18,3;0982;019,83;0000
10:22:29;000:22;005;0198;+19,8;0983;020,23;0000
10:22:29;000:22;011;0197;+19,9;0983;020,06;0000
10:22:33;000:27;002;0194;+18,3;0982;019,83;0000
10:22:33;000:27;005;0198;+19,8;0983;020,23;0000
10:22:33;000:27;011;0197;+19,8;0983;020,06;0000
10:22:37;000:31;002;0194;+18,3;0982;019,83;0000
10:22:37;000:31;005;0198;+19,8;0983;020,22;0000
10:22:37;000:31;011;0197;+19,9;0983;020,06;0000
10:22:41;000:35;002;0194;+18,3;0982;019,83;0000
10:22:42;000:35;005;0198;+19,9;0983;020,22;0000
10:22:42;000:35;011;0197;+19,9;0983;020,05;0000
10:22:46;000:39;002;0194;+18,3;0982;019,83;0000
10:22:46;000:39;005;0198;+19,9;0983;020,21;0000
10:22:46;000:39;011;0197;+19,9;0983;020,05;0000
10:22:50;000:43;002;0194;+18,3;0982;019,83;0000
10:22:50;000:43;005;0198;+19,9;0983;020,20;0000
10:22:50;000:43;011;0197;+20,0;0983;020,04;0000
10:22:54;000:48;002;0194;+18,4;0982;019,83;0000
10:22:54;000:48;005;0198;+20,0;0983;020,20;0000
10:22:54;000:48;011;0197;+20,0;0983;020,04;0000
10:44:33;000:00;001;0198;+20,6;0982;020,24;0000
10:44:33;000:00;003;0194;+18,4;0982;019,81;0000
10:44:37;000:05;001;0198;+20,7;0982;020,24;0000
10:44:37;000:05;003;0194;+18,4;0982;019,81;0000
10:44:58;000:07;001;0198;+20,7;0982;020,20;0000
10:44:58;000:07;003;0194;+18,5;0982;019,77;0000
10:45:21;000:02;001;0198;+20,7;0982;020,20;0000
10:45:21;000:03;003;0194;+18,5;0982;019,78;0000
10:45:21;000:03;005;0198;+20,5;0984;020,13;0000
10:45:25;000:06;001;0198;+20,8;0982;020,20;0000
10:45:25;000:07;003;0194;+18,5;0982;019,78;0000
10:45:25;000:07;005;0198;+20,5;0984;020,13;0000
10:45:29;000:11;001;0198;+20,7;0982;020,19;0000
10:45:29;000:11;003;0194;+18,5;0982;019,78;0000
10:45:29;000:11;005;0198;+20,5;0984;020,13;0000
10:46:05;000:02;001;0198;+20,7;0982;020,22;0000
10:46:05;000:02;003;0194;+18,5;0982;019,80;0000
10:46:05;000:02;005;0198;+20,5;0984;020,13;0000
10:46:07;000:04;001;0198;+20,8;0982;020,22;0000
10:46:07;000:04;003;0194;+18,5;0982;019,80;0000
10:46:07;000:04;005;0198;+20,5;0984;020,13;0000
10:46:09;000:06;001;0198;+20,7;0982;020,21;0000
10:46:09;000:06;003;0194;+18,6;0982;019,80;0000
10:46:10;000:06;005;0198;+20,6;0984;020,13;0000
10:46:21;000:01;001;0198;+20,8;0982;020,16;0000
10:46:22;000:02;003;0194;+18,6;0982;019,84;0000
10:46:22;000:02;005;0197;+20,6;0984;020,10;0000
10:46:59;000:01;002;0196;+20,0;0983;020,03;0000
10:47:01;000:03;002;0196;+20,0;0983;020,03;0000
10:47:58;000:01;001;0198;+20,6;0982;020,23;0000
10:47:59;000:01;003;0194;+18,4;0982;019,83;0000
10:47:59;000:01;005;0198;+20,0;0983;020,15;0000
10:48:01;000:03;001;0198;+20,6;0982;020,22;0000
10:48:01;000:03;003;0194;+18,4;0982;019,83;0000
10:48:01;000:03;005;0198;+20,0;0983;020,15;0000
10:48:03;000:05;001;0198;+20,6;0982;020,22;0000
10:48:03;000:05;003;0194;+18,5;0982;019,83;0000
10:48:03;000:05;005;0198;+19,9;0983;020,15;0000
10:48:05;000:07;001;0198;+20,6;0982;020,22;0000
10:48:05;000:07;003;0194;+18,5;0982;019,83;0000
10:48:05;000:07;005;0198;+20,0;0983;020,15;0000
10:48:07;000:09;001;0198;+20,7;0982;020,22;0000
10:48:07;000:09;003;0194;+18,4;0982;019,83;0000
10:48:07;000:09;005;0198;+20,1;0983;020,15;0000
